Voltage_Volt,Current_mA,Transmission_Freq_Hz,Status_Daya
3.749080237694725,35.32404337261777,1,Low
4.901428612819832,270.3637694683925,5,Medium
4.46398788362281,274.9112095889522,5,Medium
4.197316968394073,322.3406517341212,1,Medium
3.312037280884873,365.78475352410413,5,High
3.3119890406724055,488.16751893664195,1,High
3.116167224336399,262.9871706675857,5,Medium
4.73235229154987,168.24867174121053,1,Medium
4.202230023486417,399.6412354366648,1,High
4.4161451555920905,142.70780311841636,1,Low
3.041168988591605,225.0959961457617,5,Medium
4.939819704323988,48.44362685771032,5,Low
4.664885281600844,22.42186427357418,5,Low
3.4246782213565523,481.6977231921833,1,High
3.3636499344142012,419.63025905098084,5,High
3.3668090197068676,351.027360985912,5,High
3.6084844859190754,210.38694276299225,1,Medium
4.049512863264476,94.91421683471442,10,Low
3.8638900372842313,86.65415090883216,1,Low
3.582458280396084,132.6190201006517,5,Low
4.223705789444759,279.12106570599906,1,Medium
3.278987721304084,360.15200212303057,10,High
3.5842892970704363,333.4967145916883,1,Medium
3.7327236865873834,147.16760950351198,5,Low
3.912139968434072,477.8839875249651,10,High
4.570351922786028,371.56948918092655,5,High
3.3993475643167193,281.63348573058636,10,Medium
4.028468876827223,309.7431656548326,10,Medium
4.184829137724085,215.60403058961705,1,Medium
3.0929008254399957,131.38818485556715,1,Low
4.215089703802876,184.42661253911817,5,Medium
3.341048247374583,381.34459412754086,1,High
3.130103185970559,17.052809428580375,1,Low
4.897771074506666,66.87559384838895,10,Low
4.931264066149119,32.54129459065885,1,Low
4.6167946962329225,29.957113136295366,10,Low
3.609227538346741,429.17568616539353,10,High
3.1953442280127677,354.7923510962116,10,High
4.368466053024314,242.34517625278934,5,Medium
3.8803049874792026,57.93873871899073,5,Low
3.2440764696895577,250.89177880724785,5,Medium
3.9903538202225404,242.0011676824772,10,Medium
3.068777042230437,94.86891625590744,5,Low
4.818640804157564,222.58730812660679,5,Medium
3.517559963200034,205.26731985471298,1,Medium
4.325044568707964,311.7665480455861,5,Medium
3.623422152178822,321.1958889251455,5,Medium
4.040136042355622,32.198964788301815,10,Low
4.093420558686559,193.5601811669709,10,Medium
3.3697089110510543,316.6713586999758,10,Medium
4.939169255529118,256.53676670424295,10,Medium
4.550265646722229,429.6800221822779,10,High
4.8789978831283785,332.75987949328305,10,Medium
4.789654700855298,89.83786926990055,5,Low
4.19579995762217,44.57868622621062,10,Low
4.843748470046234,324.78544632109464,10,Medium
3.176985004103839,22.990542165394686,1,Low
3.3919657248382906,297.030034823997,5,Medium
3.090454577821076,470.7128182982292,5,High
3.650660661526529,291.9823471591807,5,Medium
3.7773545793789642,200.20326384119574,10,Medium
3.5426980635477916,325.21122703675303,10,Medium
4.657475018303859,234.54391634084314,10,Medium
3.713506653387179,277.3522267648081,1,Medium
3.5618690193747615,471.3177563004973,10,High
4.085392166316497,199.1902925223794,1,Medium
3.2818484499495253,480.98337627371797,5,High
4.604393961508079,453.6218145584712,10,High
3.1491012873595414,105.93765604675525,1,Low
4.973773873201035,43.98703742883107,1,Low
4.544489538593314,59.38122067493906,10,Low
3.397431363068345,18.928694569259367,5,Low
3.011044234247205,56.27705077040491,5,Low
4.6309228569096685,344.6733189740149,5,Medium
4.413714687695235,44.882437745512206,1,Low
4.458014336081975,166.29805884394304,1,Medium
4.542540693371891,423.98890237503275,1,High
3.148089303468181,21.403248510554675,1,Low
3.7169314570885454,409.0895564685785,5,High
3.2317381190502594,148.10883963896597,10,Low
4.726206851751187,67.90076553461157,1,Low
4.246596253655116,351.4012110284338,1,High
3.6617960497052984,318.18199492214313,5,Medium
3.1271167005720475,439.96128662825595,10,High
3.6219646434313244,370.18481146390405,10,High
3.650366644053494,403.7056558885758,5,High
4.459212356676128,148.19694055994017,5,Low
4.2751149427104265,96.94537645206418,10,Low
4.774425485152653,377.8012283040206,1,High
3.944429850323899,405.34902224095936,10,High
3.2391884918766034,495.3475195803299,5,High
4.42648957444599,212.18266168659898,1,Medium
4.521570097233795,192.28886203846375,1,Medium
4.122554395138993,390.4423507635785,5,High
4.541934359909122,176.99373472397875,5,Medium
3.9875911927287815,466.0710895457467,5,High
4.045465658763988,430.6222484030758,10,High
3.855082036717099,220.207073413759,10,Medium
3.05083825348819,377.9268232178337,1,High
3.215782853986609,379.72600830149435,5,High
3.0628583713734683,60.530695729606975,1,Low
4.272820822527561,452.2509242729877,1,High
3.6287119621526536,257.57366249945,1,Medium
4.017141382329406,414.9641583927934,1,High
4.815132947852186,166.82430450499976,5,Medium
3.49858445829775,448.8063819631382,1,High
3.8207658460712595,200.70882257973992,5,Medium
4.511102277086097,15.310449225346197,5,Low
3.457596330983245,453.6371684454392,10,High
3.1539598196575858,54.730471625205446,5,Low
3.5795029058275363,166.4636824193033,10,Medium
3.322442574508009,475.5303638548944,5,High
4.859395304685146,475.79750199940247,5,High
4.616240759128834,290.9845651804102,5,Medium
4.266807513020847,319.6002339632016,10,Medium
4.742921180375435,229.7383057693767,10,Medium
